第五,和平,王者
0.6294122707084833,0.14585035045660782,0.2239168946595707
0.45838322730538494,0.0,0.006059993395187813
0.5266399794045848,0.24727806766513347,0.2553477418159749
0.5952122900206651,0.9999999999999999,0.23354149602619584
0.31825087499568216,0.38529846416397084,0.3052950633577759
0.26194588478880726,0.6180137384128455,0.27106992187476364
0.5025452559354944,0.20811366738970835,0.4252460881953637
0.48942247023361285,0.34941076718758185,0.4130712347032987
0.2329716614017324,0.1340606294628277,0.18428117893470589
0.20004729805902566,0.13752377678948702,0.03496815949669757
0.1643784127948674,0.12684124521212486,0.07077367674098406
0.1955469262949639,0.2015703489596422,0.0
0.17167243810944421,0.30874264660944034,0.44197039263930726
0.25529810518077384,0.16844105478855573,0.4563032538280219
0.17207235407464672,0.04220767260211508,0.5502995604381675
0.17950673419810254,0.25400114710822436,0.5790164447543544
0.122413103602098,0.1763885051535189,0.6661499309243952
0.11307845226456667,0.3059312106591781,0.8322652817991943
0.18580468722432567,0.44334587314292917,0.6490190865516254
0.24452785894421983,0.31784013952441276,0.9090690680994163
0.19301275798122186,0.4110469794788265,0.9999999999999999
0.16269854868896885,0.11303739829434604,0.7516666807484433
0.12019760078802222,0.3545808091661253,0.3759940516780868
0.08333902988867209,0.1628385365833492,0.2133600652006762
0.287699671899258,0.3325735585906971,0.8750204820515302
0.18349687694352174,0.38812377068010984,0.7535913237189539
0.15498097598912466,0.1758220332911823,0.734873533143493
0.27461186945294463,0.27727170568977955,0.735885627587556
0.20094157780348454,0.2211662382052542,0.640893406820874
0.14346508102131603,0.17022101948740834,0.6087610038243642
0.30601756244189926,0.2835160379486573,0.639044444647091
0.30657184037303636,0.16057881467797946,0.8228186503480054
0.10616727756291272,0.15996828332495316,0.4971302014205811
0.0716206380132966,0.18226919729996865,0.34275028693618653
0.16083704803197743,0.04390422297338131,0.48298801670936253
0.1721137166030489,0.19096826206712544,0.3715701195535818
0.30415202344882114,0.14611397749954486,0.6506560710556897
0.23874497918795373,0.12092264497780614,0.35413636526511383
0.15215275665662664,0.08799829749153762,0.42331776119160686
0.08646945185832233,0.06897068473731258,0.34667836659230555
0.05732482120032628,0.09563625016713634,0.09195172780850092
0.1182240691544302,0.05215167360984371,0.06310985502852723
0.17199707010711274,0.21369596591752646,0.35681477948215407
0.26512618200978433,0.33449761867235683,0.732733877221798
0.0,0.23289782789634147,0.36311180067441756
0.008952204655549911,0.21692818055371188,0.2652563729666618
0.015385761678784304,0.2737061294157844,0.2989093960393634
0.09505401706420874,0.2577460138110426,0.24251548931907288
0.24561900002961692,0.3472569862511401,0.3825216452699253
0.5448911840133884,0.16845613469966159,0.20524968718287526
0.8776820828681219,0.20815377497121193,0.2138381256952551
0.9691616914863381,0.19164199024591216,0.1946782406080167
0.5459846192787351,0.1801537336771586,0.23411873009683817
0.642617385512121,0.19719223838775157,0.24365125838430962
0.9999999999999999,0.20452525117731368,0.24731112750297046
0.9756936182954333,0.2936671259931606,0.23732872494152144
0.6657171759613751,0.15196797223141834,0.16023092842967987
0.5638052290200144,0.1219965374109629,0.12563712034029334
0.7060841999659433,0.19446873769426143,0.1427637324520451
0.44204599410684575,0.15253992977446668,0.2345574043001863
